"estc_id","total_price"
"T25964",2
"N16098",6
"T19541",1
"T2355",6
"N492861",6
"T3024",6
"T201930",6
"T14086",6
"T99581",6
"T223247",6
"T56872",6
"N4973",6
"T73249",6
"N21254",3
"T97852",6
"T46745",6
"T182010",6
"T184487",6
"T126686",6
"N7849",6
"T50007",3
"N70637",4
"T99459",3
"T101429",4
"N28545",6
"T56630",6
"T16449",3
"N4288",6
"T108288",6
"T173426",3
"T46486",6
"T137406",4
"T64061",6
"T110474",6
"T53841",6
"T54444",3
"T4283",6
"T192252",3
"N42440",6
"T40890",6
"T177783",6
"T504948",3
"T58073",6
"T48492",6
"T25544",4
"T42789",4
"T145433",6
"N36434",6
"T163737",3
"N12442",4
"T217317",3
"T172363",6
"T50710",6
"T230534",1
"T71534",2
"T49758",6
"T106269",3
"T137276",6
"T182237",1.5
"T47318",6
"T138016",1
"T135252",1
"T89206",6
"T41204",2
"T37767",6
"T478765",3
"T88577",3
"T222920",6
"T181231",2
"N36307",6
"T6325",6
"T163958",3
"T49268",6
"T174029",6
"T98942",6
"N9995",6
"T41326",6
"T17957",6
"T84575",6
"T49408",6
"T182900",6
"T144514",6
"T83950",6
"T64059",2
"N2545",6
"T223570",4
"N486",6
"N31102",6
"T40942",6
"T64062",2
"T300719",1
"T186672",6
"T36447",3
"T118678",6
"T44790",4
"N20133",6
"N7623",6
"T8400",6
"T25409",6
"T4307",3
"N473577",3
"N9935",6
"T94304",3
"T43856",6
"T161477",6
"T71228",6
"T66753",6
"T5963",1
"T176862",6
"N4577",6
"T48296",6
"T1860",4
"T176534",2
"T185276",3
"T42369",4
"N24400",6
"T10833",1
"T52434",6
"T54269",6
"T103015",6
"T9219",6
"T67552",6
"T85561",6
"T210202",3
"T43524",6
"T11723",6
"N27700",6
"T146244",6
"N13712",6
"T106218",6
"T62532",2
"T98173",6
"T181222",6
"T32642",6
"T166097",1
"N71169",1
"N27035",2
"T144266",4
"T32163",6
"T34598",6
"T88141",6
"T155709",1
"T89560",6
"N40444",6
"T49309",6
"N19683",6
"T181989",1
"T122346",6
"T95496",6
"T7287",3
"T39102",3
"T11659",6
"T3980",6
"T48766",6
"T79430",2
"T48904",1
"T180703",1
"R14094",6
"T103150",6
"T104172",6
"T120606",6
"T172880",6
"T217428",1
"T182891",6
"T14667",6
"T152896",6
"T122249",3
"T45393",3
"T301280",6
"T86958",6
"T14845",6
"T199463",6
"T174302",6
"T201752",1
"N70735",1
"T200469",6
"T47614",6
"T90511",6
"T38107",6
"T35296",6
"T227252",6
"T17554",6
"T186599",4
"T37686",2
"T101791",4
"T167726",6
"N11061",4
"T10662",6
"T180694",2
"T56657",2
"T66575",6
"T48129",3
"N814",6
"T34737",4
"T125219",6
"T175157",3
"T44264",3
"N27594",6
"T85917",3
"T40166",2
"T36800",4
"T201948",3
"T14249",6
"T1814",3
"T201169",1
"T169806",6
"T202311",6
"T73969",3
"T16651",6
"T55728",6
"T44106",6
"T141616",2
"N32885",6
"N473916",3
"T91395",6
"T47588",4
"N47397",6
"T51792",6
"T87809",4
"T300713",1
"T28935",3
"N47698",1
"T18836",6
"T47833",6
"T64333",3
"T206963",1
"T165702",6
"T171953",6
"T35216",6
"T56936",6
"T195247",6
"T300799",6
"T150867",3
"T82413",2
"T143224",6
"T1233",6
"N13275",6
"T88151",3
"T37789",2
"T7629",6
"T87980",6
"T46994",2
"T100838",4
"T126196",1.5
"T192099",2
"T104936",4
"T100633",6
"T105376",4
"N21560",1
"T163950",4
"T49611",1
"N24511",6
"T225629",2
"T2988",6
"T109548",0.5
"T43188",6
"T89727",6
"T38923",6
"T56969",6
"T61285",6
"T4306",6
"T73964",2
"T19872",3
"T36712",6
"T89398",2
"N18375",6
"T20378",1
"R32405",6
"T174189",3
"T80017",4
"T43891",6
"T195412",6
"T82064",2
"T173545",6
"N474984",6
"T196386",6
"T52937",2
"T46819",6
"T49762",4
"T196289",6
"T178536",1
"N7939",6
"T22209",4
"N2697",6
"T81475",6
"N19578",2
"N33872",6
"T109036",3
"N8712",6
"N24048",4
"N11744",4
"T88427",3
"N2294",6
"T103535",6
"T75116",6
"N504603",6
"T224282",2
"T42562",3
"T48996",4
"T18297",4
"T115543",12
"T189262",9
"N17202",12
"N473269",15
"T83398",12
"N11044",12
"N48711",12
"T117299",12
"T50736",12
"T70201",12
"T129048",12
"N54451",12
"T73119",12
"T16318",12
"T33512",12
"T34403",12
"T115473",18
"N23658",18
"T194916",18
"T71725",12
"T107540",18
"T115512",18
"T116147",12
"N32650",12
"T44064",18
"N31771",8
"T134584",12
"T189719",12
"T301003",12
"T125484",18
"T176753",12
"T133351",18
"T202155",18
"T194419",18
"T104081",12
"T876",12
"N24889",12
"T115688",12
"T31925",12
"N24547",12
"R173033",12
"T77549",12
"T37008",12
"N48905",12
"T63653",18
"T60954",12
"T120575",12
"T140647",12
"T116604",12
"T20747",12
"T145786",12
"N11152",12
"T103362",12
"N64959",12
"T121550",18
"N24435",12
"T56906",12
"T20461",12
"T119007",18
"T89944",18
"T89960",18
"T48155",12
"T52461",12
"T43087",12
"T132938",8
"T68430",12
"T9027",12
"T36440",12
"T126972",12
"N23677",18
"T31939",18
"T9325",12
"T69371",12
"T45111",18
"N31012",12
"N40409",12
"T11858",12
"T84270",12
"T80750",12
"T47028",12
"T107597",18
"N783",12
"T68842",12
"T148293",18
"T106137",12
"T69537",12
"T38410",12
"N14328",12
"T87910",12
"T77543",12
"T12843",12
"T115374",18
"T64207",18
"T11338",12
"T35384",12
"N13506",12
"T69084",12
"T58887",12
"T197114",12
"T198593",18
"T35834",12
"T37938",12
"T106763",12
"N46686",18
"T74534",12
"T93450",12
"T190705",12
"T69707",18
"T189543",12
"T200350",12
"N14018",18
"T89977",12
"T39381",12
"T137435",18
"T123197",9
"N63918",12
"T212359",12
"T177324",18
"T97661",12
"R215713",18
"N10370",18
"T71069",12
"T5714",12
"T211717",18
"T49294",12
"T77921",12
"T94339",12
"T5720",12
"N6106",12
"T192797",18
"T40875",12
"T56985",12
"T59987",9
"T66506",12
"T82997",12
"T67384",12
"T124007",18
"T143856",9
"T103498",12
"T72106",18
"T62282",12
"T181073",12
"T31747",12
"T38849",18
"T103354",12
"T126748",12
"T4982",12
"T44729",18
"N14173",12
"T93978",12
"N26153",15
"T49224",12
"T102933",18
"T47288",12
"T117735",12
"T84851",18
"N3021",12
"T167560",18
"T4710",12
"T72440",18
"T121019",12
"T34642",18
"T87444",12
"T63556",12
"T119900",9
"T43453",12
"T107821",12
"T66785",12
"T85538",12
"T27030",12
"T5555",18
"T58284",9
"T14230",12
"T188424",12
"T142402",12
"T97850",18
"T129588",12
"T48976",12
"N19476",12
"T27198",12
"T131661",12
"T131686",18
"T65001",12
"T28319",18
"T36016",12
"T95290",12
"T128126",12
"T128381",12
"T11801",12
"T72076",18
"T33572",18
"T38560",12
"N7374",12
"T100271",12
"T4914",18
"T128926",12
"T52185",12
"T218734",18
"T172141",12
"T112264",18
"T88662",12
"N6233",12
"T191102",18
"T93514",12
"T1540",18
"T77565",12
"T115291",18
"T7598",12
"T66260",12
"T2367",12
"R216301",12
"T189293",12
"T173198",12
"T43854",12
"N15078",12
"T86619",12
"T186679",8
"T108697",12
"T52618",12
"T88495",12
"T86063",12
"T46669",18
"T46341",12
"T50498",12
"T139116",12
"T100613",18
"T89611",12
"N20598",12
"T134546",12
"T39767",12
"T103274",18
"N22218",12
"N21437",12
"T139065",18
"T178501",12
"T130116",8
"T62441",12
"T38043",12
"T125856",12
"N44161",12
"T196604",12
"T64164",12
"T198453",12
"T53608",12
"T138890",18
"T11771",18
"T45024",9
"T224154",12
"T48815",12
"N470660",12
"T223298",9
"T208011",18
"T107182",18
"N21332",12
"N13909",12
"T173498",12
"T192239",12
"T103109",12
"T63344",12
"T38125",12
"T206279",18
"T100275",18
"T76074",18
"N9842",12
"T52833",12
"T50230",12
"T32736",12
"T61212",18
"T41389",18
"T128519",18
"T51996",12
"T57405",12
"N46682",12
"T68287",12
"N45720",12
"T64074",12
"T11304",12
"T104090",8
"N22031",12
"T7340",12
"T11609",12
"N483646",12
"T87577",12
"T134294",12
"N54713",12
"T22781",12
"T53714",12
"T103750",12
"T232463",12
"T64412",18
"T61365",18
"T66852",12
"T152255",12
"T12468",12
"N15335",12
"T55087",12
"N11313",18
"T41742",12
"T50613",12
"T232375",12
"T33404",30
"T124388",36
"T78059",24
"T78945",24
"T112266",36
"N68624",30
"T73279",36
"N33444",30
"N7470",30
"T125902",24
"N4865",30
"N21498",30
"T14998",30
"T132130",30
"N67562",20
"T169934",36
"T72012",36
"T126100",30
"T90664",36
"T41801",30
"T97885",30
"T59893",20
"T62259",30
"T223349",24
"T106923",30
"T50055",24
"T93575",24
"T109988",30
"N65932",24
"T85767",30
"T122291",19
"T145131",30
"T123414",24
"T207689",30
"T94619",30
"T178008",30
"N26752",36
"T82987",24
"T60087",30
"N25303",30
"N15230",30
"T152733",24
"T117347",30
"T54557",24
"T95727",30
"T127914",30
"T13163",30
"T45713",24
"T93582",24
"T79488",30
"T50019",36
"T31502",24
"T170480",36
"T189832",24
"T75871",30
"T97922",24
"T190798",24
"T34041",30
"T139835",30
"T131315",24
"N15616",24
"T99833",24
"T42295",24
"T100280",24
"T45473",24
"T16296",24
"N19177",30
"T75093",30
"T35311",24
"T2674",30
"T210906",30
"N3944",36
"T191684",36
"T45658",30
"T97120",24
"T130664",24
"T124080",30
"T93196",24
"N65052",24
"T85612",36
"N472749",20
"T169422",24
"T83729",30
"T49648",24
"N12098",30
"T226312",24
"T155468",30
"N44432",24
"T164058",30
"T64422",36
"T27762",30
"T27823",24
"N473260",24
"T6487",24
"T138495",30
"T130084",36
"T181666",30
"T212250",24
"T72104",30
"N479129",24
"N474092",36
"T83865",30
"T72995",24
"T26209",24
"T76492",24
"T102433",19
"T3964",24
"T59831",30
"T119928",30
"T123209",36
"T117166",30
"T117069",24
"N44470",24
"T60908",30
"T114169",24
"T12973",30
"T145603",36
"T103765",19
"T96972",30
"T139286",30
"T116398",24
"T225494",24
"T176621",30
"T171714",24
"N23231",36
"T109007",30
"T73064",30
"T73915",36
"N31372",24
"N39461",20
"T1307",24
"T60910",36
"T90019",36
"T59031",36
"T178465",36
"N474711",24
"T178825",30
"T160493",30
"T45794",24
"T44246",24
"T172613",30
"T187063",30
"T134386",30
"T504826",30
"N4783",36
"T60687",30
"T199851",36
"T36531",24
"T86073",30
"T115339",30
"T196173",24
"T103336",30
"T504824",30
"T110010",24
"T112859",36
"N474025",30
"T102918",24
"T95623",24
"T138328",24
"T68671",24
"T45333",24
"T59879",36
"T100975",30
"T38477",36
"T110894",24
"T11042",30
"T143142",36
"T86811",24
"T90161",30
"T117645",30
"T225988",24
"N7432",30
"N7371",24
"T75400",24
"T83708",36
"T204656",24
"T62527",30
"N22078",24
"T45294",24
"T85993",24
"T65437",30
"T80745",20
"T85880",24
"T49234",24
"T49846",36
"T165433",24
"T89471",30
"T40161",30
"T116828",24
"T109771",24
"T147480",36
"T45307",24
"T105140",30
"T122126",24
"T10116",30
"T112501",36
"T32786",24
"T26628",19.5
"T59900",24
"T45820",24
"T68970",24
"N9638",24
"T57157",36
"T164776",30
"T103557",24
"N492772",24
"T90214",30
"T135716",30
"T1117",24
"T146284",30
"N6962",24
"T85188",36
"N68848",30
"T184841",30
"T64156",30
"T79464",24
"N23683",24
"T175407",24
"T63978",24
"T34310",24
"T184391",30
"T54686",36
"N6836",24
"T84870",24
"T167497",30
"N2805",24
"N7900",30
"T40275",24
"T4081",36
"T125472",30
"T70714",30
"T122834",24
"T100528",30
"T180799",36
"T128284",24
"T504960",24
"N26658",30
"N22324",24
"T141458",36
"T88449",36
"T39234",30
"T102333",24
"T127548",30
"T65438",30
"T106263",24
"T26748",24
"T56094",30
"N1005",24
"N27213",30
"T52045",24
"N28255",24
"T173076",30
"N19614",30
"N41891",24
"T90192",36
"T9597",30
"T184871",30
"N40349",24
"N26646",30
"T46124",30
"T127568",30
"T58789",30
"T185697",30
"T103406",24
"T4483",30
"N36448",36
"T79884",30
"T115984",24
"T42602",30
"T108900",24
"T73399",24
"N474713",24
"T11291",24
"T65426",24
"T144284",30
"N31047",24
"T168948",24
"T51030",30
"T86204",24
"T97226",24
"T31700",36
"T8518",24
"T144524",24
"T187187",19.5
"T76291",30
"T203494",30
"T34150",30
"T53188",30
"T109311",30
"T122501",24
"T121712",24
"T130942",24
"T177374",24
"T117345",24
"T206055",30
"T52596",24
"T2955",24
"T108014",30
"T68029",24
"T140758",30
"N14081",60
"N34008",66
"T11029",42
"T39429",60
"T135775",60
"T93708",90
"T109886",39
"N42986",42
"T89985",72
"T154493",84
"T116391",72
"T160560",42
"T27755",48
"T177111",42
"T125124",60
"T132195",60
"T65011",60
"N477018",48
"T165228",42
"T143954",84
"T128169",72
"T131715",72
"T132964",60
"T57525",48
"T164349",48
"T160014",60
"T56722",42
"T116751",60
"T57937",60
"N22063",42
"T134554",48
"T78515",72
"T195329",60
"T91671",54
"T114709",48
"T20435",42
"T70324",72
"T170861",78
"T132644",48
"T144309",72
"T120831",96
"T122860",42
"T81955",42
"T68109",42
"T30208",42
"T206389",42
"T78304",90
"N17864",72
"T85769",42
"T130164",60
"T166733",60
"T92188",42
"T88393",60
"T138975",72
"T105790",48
"T223011",72
"T20316",42
"T54056",42
"N15966",42
"N504800",72
"T90917",84
"T93482",84
"T131556",72
"N10297",42
"T26892",72
"N5655",48
"T55172",48
"T132565",90
"N23193",48
"T114478",72
"N10627",60
"T96597",42
"T107132",54
"T228382",42
"T132962",72
"N21633",72
"T89444",60
"T83087",72
"N22060",42
"T65572",42
"T84319",60
"T75659",72
"T166153",72
"T77397",72
"N26151",42
"N46198",42
"T85761",48
"T70349",60
"T21858",42
"T116478",60
"T139023",60
"T37343",48
"T143150",72
"T152189",60
"T128480",42
"T43955",42
"T137017",72
"T213790",65
"T66029",54
"T172579",48
"T81836",42
"T42647",48
"T92361",60
"T70819",42
"T112100",72
"T2817",42
"T140574",48
"T222880",42
"T70844",60
"T103923",48
"T64259",120
"T218804",60
"T153230",65
"T5905",42
"T110562",42
"T91339",72
"T154318",48
"T124228",84
"T89213",48
"T146855",114
"T125654",42
"T88904",60
"T122638",60
"T51683",108
"T65090",60
"N34814",72
"T117306",60
"N61517",48
"N6888",60
"T60480",60
"T154957",42
"T136750",72
"T85432",42
"T113046",72
"T77908",90
"T109480",42
"T89800",72
"T96504",72
"T9159",42
"T99508",42
"T85084",42
"T54950",72
"T63492",90
"T138714",48
"T131993",54
"T113256",60
"N20854",60
"T84544",84
"T111906",48
"T142290",48
"T110176",48
"T111042",42
"T117944",90
"T9989",60
"T114015",72
"T121136",42
"T173272",42
"T90147",66
"T33073",78
"T161243",42
"T200163",72
"T14705",60
"T70064",60
"T83947",42
"T124556",72
"T99761",60
"T188561",60
"T93484",42
"T98411",72
"T55929",42
"N38092",54
"N2446",42
"T122640",60
"N43934",48
"T25514",72
"T181028",42
"N473161",108
"N50619",48
"N36596",72
"N7235",60
"T132018",48
"T62240",60
"T119337",72
"T113971",72
"T32292",42
"T205927",60
"T146361",72
"T84736",90
"T172321",60
"T133355",72
"T142006",72
"T117203",60
"T115282",48
"T201875",60
"T106326",72
"T87450",72
"T190",42
"T135337",48
"T75186",60
"T72414",42
"T89435",54
"N5458",60
"N3220",42
"T61245",60
"T96604",60
"T72168",60
"T167430",48
"T144534",60
"T89234",72
"T118107",90
"T94557",72
"T75713",60
"N46585",60
"T126693",60
"T130620",90
"T112247",60
"T146116",48
"T105949",84
"T166660",96
"T131923",39
"T114252",60
"N4445",48
"T169301",42
"N39831",72
"N493161",42
"T100962",54
"N5054",42
"T92196",60
"T137216",90
"T131508",48
"N29324",72
"T170081",108
"T119398",48
"N22035",42
"T148071",72
"T92274",72
"T89684",48
"N61074",60
"T95896",60
"T75725",48
"N31094",78
"T114994",72
"T31011",60
"N16452",72
"T93577",54
"T212626",72
"N3839",60
"T136039",60
"T143082",72
"T28531",60
"T160652",72
"T84386",60
"T154824",42
"T18625",60
"T144804",54
"T140590",90
"T128328",42
"N16485",72
"T148823",72
"T10271",42
"T77031",54
"T175666",72
"N32233",48
"T112576",60
"T65406",72
"T144812",60
"T5904",42
"T110070",72
"T167606",48
"N23473",60
"T114645",96
"T83942",42
"T227483",72
"T163754",72
"T73061",60
"T138026",60
"T88334",60
"T181080",90
"N15369",39
"T92944",48
"N47291",42
"T87972",72
"T87512",72
"T175686",54
"T114811",48
"T96598",60
"T114366",84
"N68038",72
"T184549",60
"T122837",60
"T131963",42
"T113329",72
"T90674",60
"T130749",84
"T168783",42
"N4486",114
"T34153",42
"T112902",48
"T120876",60
"T144956",42
"N10388",216
"N11998",160
"N13113",504
"N19141",252
"N19413",432
"N20778",150
"N23643",960
"N24878",126
"N29611",252
"N32668",126
"N33392",156
"N33394",252
"N33395",126
"N34379",756
"N37422",252
"N46756",1008
"N4952",252
"N5140",252
"N5259",144
"N5647",360
"N62803",126
"N63942",252
"N67250",144
"N67364",126
"N797",504
"N69017",252
"N69041",1008
"T11861",192
"T12462",126
"T12463",126
"T18586",180
"T18643",144
"T21516",160
"T3136",126
"T32998",126
"T33247",324
"T37459",126
"T9602",126
"T153942",180
"T154329",126
"T154447",126
"T154475",126
"T155131",126
"T155319",378
"T160849",126
"T167110",252
"T167473",252
"T173070",252
"T174502",126
"T177004",126
"T180071",126
"T180720",252
"T187875",180
"T192639",756
"T197441",126
"T197786",252
"T199042",180
"T200529",252
"T208371",126
"T208473",252
"T219204",312
"T225271",126
"T225539",1008
"T54389",204
"T57753",864
"T59882",600
"T60630",144
"T60631",144
"T61241",252
"T63197",324
"T63212",324
"T64481",576
"T71143",630
"T77047",756
"T78356",252
"T78365",756
"T79324",126
"T81459",336
"T81547",252
"T82160",252
"T82481",156
"T82483",168
"T82751",180
"T86069",126
"T87530",126
"T88062",126
"T88185",252
"T88435",192
"T89034",600
"T89221",252
"T89318",138
"T90199",126
"T90309",504
"T90914",126
"T91284",156
"T92417",240
"T92798",252
"T93274",252
"T94610",126
"T94611",126
"T95368",126
"T95982",126
"T96023",192
"T96024",192
"T96026",144
"T96549",216
"T96606",126
"T96857",252
"T97217",300
"T97254",288
"T97371",408
"T97423",144
"T97900",252
"T98324",168
"T98540",126
"T98541",126
"T98558",504
"T99736",396
"T102012",504
"T106027",360
"T106068",1260
"T106302",252
"T107010",192
"T107760",4536
"T109351",126
"T109352",144
"T109496",126
"T111490",252
"T112764",300
"T114028",126
"T115289",144
"T116435",126
"T117218",252
"T117729",126
"T117864",300
"T118205",222
"T119031",216
"T120747",144
"T121355",192
"T121357",144
"T122442",252
"T122891",252
"T129365",126
"T130824",630
"T132226",144
"T134203",144
"T134504",180
"T134576",216
"T136181",504
"T136453",756
"T136945",144
"T138160",144
"T138163",216
"T138836",318
"T139401",300
"T139936",252
"T142959",756
"T143711",504
"T144369",126
"T145497",156
"T145508",192
"T145958",126
"T145960",126
"T146393",504
"T147136",252
"T147137",252
"T44152",144
"N472537",432
"N473268",180
"N474031",252
"T492557",126
"T504528",126
"T210280",480
"T141001",60
"T144505",264
"T105791",240
"T82130",360
"T154669",324
"T143288",264
"T85254",264
"T61698",216
"T91664",432
"T98250",630
"T981",378
"T98739",630
"T136330",252
"T153076",252
"T145681",504
"T87005",312
"N7469",360
"T144870",492
"T36345",252
"T100932",252
"T128717",252
"T130369",252
"T145098",252
"T101386",252
"T34936",252
"T149593",252
"T67135",276
"T134819",252
"T73439",252
"T130346",756
"T117421",540
"T144420",504
"T133957",504
"T146491",252
"T121539",252
"T71932",324
"T117423",252
"T137248",660
"T128356",252
"T95737",252
"T116427",252
"T136235",2508
"T149974",936
"T82688",252
"T121545",252
"T137250",336
"T101564",180
"T139745",373
"T139745",378
